trump,video,female,pid,age,educ
85,0,0,6,29,8
85,0,0,5,26,12
60,1,0,2,23,8
60,2,0,4,58,8
0,2,1,2,38,8
50,1,0,4,60,13
0,3,0,0,58,4
85,1,1,3,56,8
60,1,0,4,45,8
50,2,1,2,30,9
30,3,0,4,30,12
85,0,0,1,67,11
0,3,1,0,62,13
60,4,0,0,51,8
0,3,0,0,46,13
100,3,0,6,70,12
0,3,1,0,30,13
15,4,1,5,67,9
85,0,1,5,66,8
90,1,1,5,32,11
0,3,1,4,56,9
60,2,1,4,65,13
60,1,0,4,61,7
70,0,0,4,34,6
70,1,1,3,25,8
0,4,0,2,73,13
40,2,1,3,67,8
60,0,1,1,35,13
100,0,1,6,73,9
100,1,0,4,69,12
40,4,1,5,41,12
15,4,0,1,67,15
85,0,0,6,54,10
85,0,0,2,48,3
0,2,1,1,26,9
60,1,1,6,25,10
0,4,1,0,46,12
100,0,0,6,59,10
70,0,1,4,39,11
0,4,1,1,52,12
70,1,0,4,46,10
30,2,1,0,61,13
85,2,0,5,55,10
15,4,1,0,35,15
30,3,1,2,24,11
0,4,0,0,61,12
0,3,1,0,52,12
70,1,0,4,56,8
0,2,0,0,68,9
0,3,1,0,76,9
50,1,0,4,31,12
40,2,1,5,19,12
0,4,0,0,57,13
40,0,1,4,32,8
15,2,0,0,45,11
0,4,1,1,50,6
15,4,1,0,68,13
0,4,0,0,60,9
15,2,1,2,36,12
0,4,1,1,27,6
8,1,1,4,46,9
20,2,0,2,35,9
40,0,1,4,44,8
0,0,0,0,55,8
15,1,1,0,69,12
0,3,0,2,55,12
10,2,0,2,31,12
0,4,0,2,68,13
60,1,0,4,42,15
85,2,1,6,82,8
0,4,0,0,30,9
40,2,1,4,23,12
30,2,0,5,51,8
50,0,1,3,66,13
70,2,1,5,29,11
0,4,1,0,36,12
0,3,1,0,47,12
70,2,0,3,61,8
0,4,1,0,26,12
70,4,1,0,83,2
30,3,0,2,51,12
0,4,0,5,36,8
60,2,1,2,68,10
50,1,1,4,34,9
70,1,1,4,58,9
30,2,0,4,69,12
50,3,0,2,19,9
15,3,0,1,30,8
70,1,1,3,75,8
70,0,0,4,50,8
15,2,0,0,54,12
30,2,1,0,38,8
60,0,1,5,27,9
85,0,1,4,69,10
40,2,1,4,33,8
70,1,0,5,26,8
40,2,1,5,34,11
0,4,1,2,33,12
60,2,0,5,57,9
0,0,0,4,27,10
100,0,1,4,38,8
0,2,0,0,81,8
40,3,1,2,75,8
100,0,1,6,74,10
30,4,0,2,43,12
15,3,0,0,58,12
0,4,1,2,36,12
30,4,1,5,23,12
70,0,1,6,88,9
60,2,1,4,57,8
0,4,1,0,59,13
60,2,1,6,86,13
60,2,1,3,84,9
0,4,0,0,45,12
0,4,1,0,72,12
30,2,0,2,36,12
15,4,1,4,50,9
30,2,0,1,68,8
15,4,0,0,69,12
100,0,1,4,62,9
70,1,0,4,42,10
60,0,1,1,42,9
70,0,0,4,25,10
60,2,0,4,55,10
15,3,1,0,76,13
0,4,1,0,31,12
0,3,0,2,35,12
50,3,0,0,25,8
0,2,1,6,34,8
70,1,1,3,38,9
15,3,1,1,52,13
0,3,1,1,65,9
70,1,1,6,45,12
70,1,0,6,59,11
0,2,0,4,25,9
0,3,1,0,37,13
0,4,1,0,66,8
50,3,1,0,57,8
50,2,0,1,24,11
50,3,0,4,23,9
60,0,0,2,43,12
40,2,1,4,58,12
30,0,1,0,42,8
0,3,1,1,57,9
0,0,1,2,30,3
100,2,1,5,87,8
70,2,0,6,56,11
35,2,0,5,23,11
0,3,0,5,71,11
15,3,1,0,19,8
40,1,0,2,44,8
0,2,1,3,21,10
30,0,1,4,23,6
15,4,1,0,41,12
75,1,1,6,78,6
100,0,1,6,74,12
85,0,0,4,53,12
40,4,0,5,63,11
60,0,1,6,65,10
40,1,1,5,64,12
0,3,0,6,24,13
30,4,0,2,50,8
50,2,1,2,23,8
0,3,0,0,25,12
30,2,1,4,44,12
0,4,1,0,76,13
0,4,0,4,68,13
50,1,1,4,21,9
0,4,1,1,67,10
85,1,1,6,68,8
0,4,1,0,35,13
70,0,0,5,61,9
0,4,0,1,25,12
85,2,0,0,67,11
30,4,1,4,68,13
0,4,0,3,32,8
70,0,0,4,62,10
70,1,1,6,69,13
90,2,0,6,26,12
60,0,0,4,38,8
0,3,1,3,50,12
15,4,1,2,54,13
70,0,0,6,45,13
40,3,1,4,60,12
100,0,1,6,70,9
100,2,1,6,57,13
85,2,1,4,59,7
0,3,1,0,76,9
30,3,0,5,61,8
15,2,0,2,20,9
15,3,1,5,40,11
0,4,0,0,24,12
0,2,0,2,24,9
50,1,0,5,61,8
0,0,1,0,63,6
40,3,0,0,51,13
70,1,1,4,30,12
